GPS_adjusted, CroplandSize,PastureSize,TotalPopulationSize,Elevation,DistanceToClosestTown,MammalSympatry
"-4.613914376,39.35433553",18.40135002,37.02971649,3291.423096,15,50742.25411,122
"-3.351518,38.598908",2.875540257,17.96996498,1857.766968,544,127547.3742,132
"0.482908,35.986629",1.401044846,37.74423218,7412.303223,1042,69791.67872,150
"-0.276536,35.272731",59.197052,21.3153801,14978.94727,1691,54290.75737,148
"-1.131317,36.404604",0.79341644,41.39586639,1015.505188,1858,33643.41724,157
"-0.676945,34.777971",48.5924263,13.45393085,240059.5938,1742,3986.872455,136
"-0.677913,34.776175",48.5924263,13.45393085,240059.5938,1742,4044.573958,136
"-1.182163,34.626635",53.21454239,27.15859604,35474.83984,1449,31239.05526,134
"-1.001701,34.085196",39.03632736,26.68325233,40885.50781,1140,49601.41882,123
"0.460621,34.102937",55.9740448,19.71419716,102558.2813,1213,26078.67908,146
"0.667665,34.357915",55.67400742,24.91697884,52907.71094,1385,18124.21143,153
"1.029421,34.756222",26.2142086,7.984060764,15974.79102,2354,27141.69636,157
"0.007271,34.604201",56.2644043,19.71222305,99678.95313,1529,22124.44611,155
"2.215767,38.008389",1.508048296,0,1420.079468,857,307495.1191,90
"2.215876,38.008389",1.508048296,0,1420.079468,857,307502.1467,90
"2.310642,37.998801",0,0,12201.73242,1354,312959.1882,90
"-4.080048,39.482899",41.79690933,37.71321106,8923.572266,114,13008.47585,123
"2.215691,37.888644",0.104507327,0,2887.921875,1077,298624.5531,93
"0.267398,38.123322",10.40567303,45.03449249,29516.44922,746,184642.0252,116
"0.268764,38.124949",10.40567303,45.03449249,29516.44922,746,184834.5455,115
"0.169954,38.194316",0,0,3275.851807,608,181355.1507,114
"0.271051,38.106617",10.40567303,45.03449249,29516.44922,803,184028.6365,117
"0.266773,38.118668",10.40567303,45.03449249,29516.44922,746,184343.3607,116
"0.102405,38.210133",0,0,4071.515625,556,177384.1564,113
"-0.077212,38.424201",0,0,13.97945309,347,180044.9604,98
"-0.263934,37.686634",36.6553688,36.87960815,33090.53125,1283,121435.4356,124
"-0.251424,36.054757",36.99089813,18.07704353,242149.3281,2027,6152.391862,153
"-3.349888,40.015195",6.209312916,13.79995728,3525.800049,6,71237.20601,103
"-3.217157,40.121639",23.89992523,25.62348747,122112.4063,10,87016.01165,99
"-4.05929,39.666449",8.551987648,8.708205223,466665.7813,16,3961.420109,9
"-0.164072,30.020253",0,0,8757.807617,942,84747.15029,159
"-3.32173,40.04169",54.71688843,25.735569,12688.82227,13,74783.12255,103
"-3.321017,40.023842",54.71688843,25.735569,12688.82227,19,73858.11339,105
"-2.745427,38.130589",14.04163551,23.82518959,17822.63672,840,99624.19699,142
"0.6692167393,34.3589689854",55.67400742,24.91697884,52907.71094,1385,18201.30924,153
"1.048889,34.58",1.408787847,30.79021645,572.4985962,3472,46596.305,159
"-0.6800815041,34.7732838323",48.5924263,13.45393085,240059.5938,1742,4120.844642,136
"0.9833294,31.083333",45.94256592,22.7822113,5615.549805,1151,112410.797,154
